json,image,W,H,n_objs,mode,note
05_sou_0127_009137_280_clothes_01top(t-shirts)_10etc (2).json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_0127_009137_280_clothes_01top(t-shirts)_10etc (2).jpg,607,1080,1,combo,ok
05_sou_0314_022605_320_clothes_01top(t-shirts)_10etc (2).json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_0314_022605_320_clothes_01top(t-shirts)_10etc (2).jpg,607,1080,1,combo,ok
05_sou_0316_022700_190_model_01top(t-shirts)_10etc (2).json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_0316_022700_190_model_01top(t-shirts)_10etc (2).jpg,607,1080,1,combo,ok
05_sou_0318_022848_230_model_01top(t-shirts)_10etc (2).json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_0318_022848_230_model_01top(t-shirts)_10etc (2).jpg,607,1080,1,combo,ok
05_sou_0320_023020_150_clothes_01top(t-shirts)_10etc (2).json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_0320_023020_150_clothes_01top(t-shirts)_10etc (2).jpg,607,1080,1,combo,ok
05_sou_0323_023242_210_clothes_01top(t-shirts)_10etc (2).json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_0323_023242_210_clothes_01top(t-shirts)_10etc (2).jpg,607,1080,1,combo,ok
05_sou_0377_027083_100_model_01top(t-shirts)_10etc (2).json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_0377_027083_100_model_01top(t-shirts)_10etc (2).jpg,607,1080,1,combo,ok
05_sou_2836_204128_70_model_05outer_06dot.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/dot/05_sou_2836_204128_70_model_05outer_06dot.jpg,2268,4032,1,combo,ok
05_sou_3636_261791_340_clothes_04-1onepiece(dress)_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/check/05_sou_3636_261791_340_clothes_04-1onepiece(dress)_01check.jpg,2268,4032,1,combo,ok
05_sou_3640_262048_30_clothes_04-1onepiece(dress)_02stripe.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/stripe/05_sou_3640_262048_30_clothes_04-1onepiece(dress)_02stripe.jpg,2268,4032,1,combo,ok
05_sou_3642_262185_320_model_04-1onepiece(dress)_03plants.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/plants/05_sou_3642_262185_320_model_04-1onepiece(dress)_03plants.jpg,2268,4032,1,combo,ok
05_sou_3651_262816_150_model_04-1onepiece(dress)_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_3651_262816_150_model_04-1onepiece(dress)_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3652_262919_100_clothes_04-1onepiece(dress)_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_3652_262919_100_clothes_04-1onepiece(dress)_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3653_262997_160_clothes_04-1onepiece(dress)_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/geometric/05_sou_3653_262997_160_clothes_04-1onepiece(dress)_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3656_263228_310_clothes_04-1onepiece(dress)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etc/05_sou_3656_263228_310_clothes_04-1onepiece(dress)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3667_263958_50_model_02top(others)_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/check/05_sou_3667_263958_50_model_02top(others)_01check.jpg,2268,4032,1,combo,ok
05_sou_3670_264186_170_model_02top(others)_07geometric.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/geometric/05_sou_3670_264186_170_model_02top(others)_07geometric.jpg,2268,4032,1,combo,ok
05_sou_3676_264644_70_clothes_02top(others)_01check.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/check/05_sou_3676_264644_70_clothes_02top(others)_01check.jpg,2268,4032,1,combo,ok
05_sou_3677_264693_200_model_02top(others)_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/상의/etc/05_sou_3677_264693_200_model_02top(others)_10etc.jpg,2268,4032,1,combo,ok
05_sou_3687_265421_280_model_03bottom_10etc.json,./012.의류 디자인 패턴 데이터 (3-5)/원천데이터/상품/하의/etc/05_sou_3687_265421_280_model_03bottom_10etc.jpg,2268,4032,1,combo,ok
